load,year,month,day,hour,minute,humidity,temperature
5,2019,8,12,14,10,14.6999998092651,152.420002746582
5,2019,8,12,14,20,14.6000003814697,152.6
5,2019,8,12,14,30,14.6000003814697,152.959994506836
5,2019,8,12,14,40,14.8999996185303,152.420002746582
5,2019,8,12,14,50,14.8000001907349,152.420002746582
5,2019,8,12,15,0,14.8999996185303,152.420002746582
5,2019,8,12,15,10,14.6999998092651,152.6
5,2019,8,12,15,20,14.8999996185303,151.879997253418
5,2019,8,12,15,30,14.8000001907349,152.420002746582
5,2019,8,12,15,40,14.8000001907349,152.6
5,2019,8,12,15,50,14.8999996185303,152.059994506836
5,2019,8,12,16,0,14.6000003814697,152.6
5,2019,8,12,16,10,14.8999996185303,151.879997253418
5,2019,8,12,16,20,14.8000001907349,152.420002746582
5,2019,8,12,16,30,14.8999996185303,152.059994506836
5,2019,8,12,16,40,14.8999996185303,152.059994506836
5,2019,8,12,16,50,14.8000001907349,152.779997253418
5,2019,8,12,17,0,14.8000001907349,152.6
5,2019,8,12,17,10,14.8999996185303,152.420002746582
5,2019,8,12,17,20,14.8000001907349,152.6
5,2019,8,12,17,30,14.8000001907349,152.420002746582
5,2019,8,12,17,40,14.6000003814697,152.959994506836
5,2019,8,12,18,0,14.6000003814697,152.6
5,2019,8,12,18,20,15.0,152.059994506836
5,2019,8,12,18,30,15.0,152.420002746582
5,2019,8,12,18,40,15.1000003814697,152.6
5,2019,8,12,18,50,15.3000001907349,152.059994506836
5,2019,8,12,19,0,15.1000003814697,152.059994506836
5,2019,8,12,19,20,15.1000003814697,152.059994506836
5,2019,8,12,19,30,15.1999998092651,151.879997253418
5,2019,8,12,19,40,15.0,152.420002746582
5,2019,8,12,19,50,15.1000003814697,152.6
5,2019,8,12,20,0,15.3000001907349,151.7
5,2019,8,12,20,30,15.0,152.779997253418
5,2019,8,12,20,40,15.1999998092651,151.879997253418
5,2019,8,12,20,50,15.0,152.059994506836
5,2019,8,12,21,0,14.8999996185303,152.420002746582
